episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
1394,9642,"[2, 5, 1, 0, 1]",0.0,9,11,13,11,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,1,5,4,6,4,8,3,11,3,4,12,6,12,7,13,7,11,11,13
1394,9643,"[0, 1, 0, 1, 0]",0.0,9,10,13,10,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,6,1,4,4,7,4,8,2,10,3,3,12,7,12,6,13,8,11,10,13
1394,9644,"[0, 2, 2, 1, 1]",0.0,9,11,13,11,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,1,3,4,7,3,9,2,9,3,2,12,7,11,6,12,9,11,11,13
1394,9645,"[0, 0, 3, 1, 1]",0.0,9,12,13,12,13,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,1,3,3,6,3,10,2,8,3,1,12,6,11,6,13,10,11,12,13
1394,9646,"[3, 0, 0, 3, 4]",1.440000057220459,9,12,13,12,13,shot_successful,True,3,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,0,2,3,5,3,11,2,9,3,1,13,5,11,5,13,10,12,12,13
1395,9647,"[1, 2, 2, 2, 1]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,2,6,3,8,4,9,2,5,13,6,12,7,12,8,12,10,13
1395,9648,"[2, 3, 1, 1, 3]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,4,6,1,7,3,8,5,10,2,5,12,6,13,7,12,9,12,10,13
1395,9649,"[0, 2, 1, 3, 0]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,7,1,7,4,7,5,10,3,4,12,6,12,8,12,9,13,10,13
1395,9650,"[5, 2, 2, 1, 1]",0.0,8,9,13,9,13,not_applicable,False,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,3,7,2,7,3,7,6,10,4,4,12,6,11,8,11,9,13,11,13
1395,9651,"[2, 0, 0, 4, 1]",0.0,8,9,13,9,13,shot_failed,True,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,4,6,2,7,4,8,6,9,4,4,11,5,11,7,11,9,13,12,13
1396,9652,"[5, 3, 1, 0, 3]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,4,6,2,7,2,7,3,9,4,5,13,6,13,7,13,8,13,9,13
1396,9653,"[1, 3, 2, 0, 0]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,3,6,3,7,1,7,4,10,4,5,13,6,13,7,12,7,13,8,13
1396,9654,"[2, 3, 1, 0, 0]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,5,4,5,3,7,2,7,5,9,4,5,12,6,13,8,12,7,13,8,13
1396,9655,"[3, 4, 3, 2, 3]",0.0,6,6,13,6,13,shot_failed,True,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,4,4,5,2,7,3,7,6,10,4,5,13,6,13,8,12,7,12,8,13
1397,9656,"[0, 0, 1, 1, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,4,7,4,8,2,9,2,4,13,5,13,7,13,8,13,9,13
1397,9657,"[4, 2, 0, 1, 1]",0.0,5,4,13,4,13,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,2,6,5,7,3,8,1,10,2,4,13,5,12,6,13,8,13,10,13
1398,9658,"[0, 2, 1, 2, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,4,7,4,8,2,9,4,4,13,6,12,7,13,8,12,9,13
1398,9659,"[5, 1, 0, 0, 1]",0.0,7,6,13,6,13,not_applicable,False,0,0,"{'base': 0.39, 'final': 0.39, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,3,5,4,8,4,7,2,9,5,4,13,7,12,6,13,8,12,10,13
