episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
72,363,"[4, 1, 0, 1, 1]",0.0,5,3,13,3,13,shot_failed,True,0,0,"{'base': np.float64(0.19091176472502752), 'final': np.float64(0.19091176472502752), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,2,5,2,6,6,7,2,10,2,3,13,5,13,6,13,9,13,10,12
73,364,"[0, 0, 3, 0, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,4,6,3,8,4,8,3,4,13,5,13,7,13,8,13,9,13
73,365,"[1, 3, 1, 2, 2]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,2,5,4,7,3,8,5,9,3,4,13,5,13,7,13,8,12,9,12
73,366,"[2, 1, 2, 3, 2]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,1,5,5,6,3,8,4,9,4,4,12,6,13,7,12,8,13,9,11
73,367,"[1, 2, 2, 1, 3]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,0,6,5,6,2,8,5,9,5,5,12,6,12,7,11,9,13,9,12
73,368,"[5, 3, 3, 2, 2]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': np.float64(0.23788346092466214), 'final': np.float64(0.23788346092466214), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,0,6,4,6,1,8,4,9,6,5,12,6,13,7,12,9,13,9,11
73,369,"[2, 1, 2, 0, 0]",0.0,7,7,11,7,11,not_applicable,False,0,0,"{'base': np.float64(0.2721572263543369), 'final': np.float64(0.2721572263543369), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,1,5,4,6,0,9,4,8,6,5,11,7,13,7,11,8,13,8,11
73,370,"[1, 0, 1, 2, 1]",0.0,7,7,11,7,11,not_applicable,False,0,0,"{'base': np.float64(0.2721572263543369), 'final': np.float64(0.2721572263543369), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,1,5,3,6,1,9,5,8,7,6,11,6,13,7,11,8,12,9,11
73,371,"[2, 3, 0, 0, 3]",0.0,7,6,11,6,11,not_applicable,False,0,0,"{'base': np.float64(0.2705202467546839), 'final': np.float64(0.2705202467546839), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,1,6,3,6,2,10,5,8,8,6,10,6,13,6,11,7,12,9,12
73,372,"[3, 3, 2, 3, 2]",0.0,7,6,11,6,11,not_applicable,False,0,0,"{'base': np.float64(0.2705202467546839), 'final': np.float64(0.2705202467546839), 'penalty': 0, 'defense_count': 0, 'defenders': []}",2,1,5,3,6,3,10,4,8,7,6,10,6,13,6,11,7,13,9,11
